TablaID,ColumnID,NombreColumna,Tipo,Longitud,Nulo
1,1,PasajeroID,Integer,10,FALSE
1,2,PasajeroCedula,Integer,11,FALSE
1,3,PasajeroNombre,String,50,FALSE
1,4,PasajeroApellido,String,50,FALSE
1,5,PasajeroPasaporte,String,15,FALSE
1,6,PasajeroUbicacion,Integer,4,FALSE
2,7,EmpID,Integer,4,FALSE
2,8,EmpNombre,String,50,FALSE
2,9,EmpApellido,String,50,FALSE
2,10,EmpCedula,Integer,11,FALSE
2,11,EmpPasaporte,String,15,FALSE
2,12,EmpRol,Integer,4,FALSE
2,13,AerolineaID,Integer,4,FALSE
3,14,RolID,Integer,4,FALSE
3,15,RolDescripcion,String,100,FALSE
3,16,RolNivel,Integer,4,FALSE
4,17,TiqueID,Integer,10,FALSE
4,18,TiqueFecha,String,9,FALSE
4,19,TiqueAsiento,Integer,3,FALSE
4,20,TiqueClase,String,30,FALSE
4,21,PasajeroID,Integer,10,FALSE
4,22,VueloID,Integer,7,FALSE
5,23,VueloID,Integer,7,FALSE
5,24,VueloNumero,Integer,10,FALSE
5,25,VueloFecha,String,9,FALSE
5,26,VueloCantPasajeros,Integer,3,FALSE
5,27,AvionID,Integer,4,FALSE
5,28,AeropuertoSalida,Integer,4,FALSE
5,29,AeropuertoDestino,Integer,4,FALSE
5,30,AerolineaID,Integer,4,FALSE
6,31,TripulacionID,Integer,7,FALSE
6,32,VueloID,Integer,4,FALSE
6,33,Emp1ID,Integer,4,FALSE
6,34,Emp2ID,Integer,4,FALSE
6,35,Emp3ID,Integer,4,FALSE
7,36,AvionID,Integer,4,FALSE
7,37,AvionMatricula,String,13,FALSE
7,38,AeropuertoID,Integer,4,FALSE
8,39,EquipajeID,Integer,4,FALSE
8,40,EquipajePeso,Float,3,FALSE
8,41,EquipajeEstado,String,100,FALSE
8,42,PasajeroID,Integer,10,FALSE
8,43,TiqueID,Integer,10,FALSE
9,44,AerolineaID,Integer,4,FALSE
9,45,AerolineaNombre,String,100,FALSE
10,46,AeropuertoID,Integer,4,FALSE
10,47,AeropuertoNombre,String,100,FALSE
10,48,UbicacionID,Integer,4,FALSE
11,49,UbicacionID,Integer,4,FALSE
11,50,UbicacionNombre,String,100,FALSE
11,51,PaisID,Integer,4,FALSE
12,52,PaisID,Integer,4,FALSE
12,53,PaisNombre,String,100,FALSE
12,54,ProvinciaID,Integer,4,FALSE
13,55,ProvinciaID,Integer,4,FALSE
13,56,ProvinciaNombre,String,100,FALSE
13,57,MunicipioID,Integer,4,FALSE
14,58,MunicipioID,Integer,4,FALSE
14,59,MunicipioNombre,String,100,FALSE
14,60,SectorID,Integer,4,FALSE
15,61,SectorID,Integer,4,FALSE
15,62,SectorNombre,String,100,FALSE
15,63,CalleID,Integer,4,FALSE
16,64,CalleID,Integer,4,FALSE
16,65,CalleNombre,String,100,FALSE
16,66,CalleTipo,String,100,FALSE
16,67,CasaID,Integer,4,FALSE
17,68,CasaID,Integer,4,FALSE
17,69,CasaNumero,String,7,FALSE
