ForeignKeyID,TablaHija,ColumnaHija,TablaPadre,ColumnaPadre,FKNombre
1,1,6,11,49,PasajeroUbicacion
2,2,12,3,14,EmpRol
3,2,13,9,44,AerolineaID
4,4,21,1,1,PasajeroID
5,4,22,5,23,VueloID
6,5,27,7,36,AvionID
7,5,28,10,46,AeroPuertoSalida
8,5,29,10,46,AeropuertoDestino
9,5,30,9,44,AerolineaID
10,6,32,5,23,VueloID
11,6,33,2,7,Emp1ID
12,6,34,2,7,Emp2ID
13,6,35,2,7,Emp3ID
14,7,38,10,46,AeropuertoID
15,8,42,1,1,PasajeroID
16,8,43,4,17,TiqueID
17,10,48,11,49,UbicacionID
18,11,51,12,52,PaisID
19,12,54,13,55,ProvinciaID
20,13,57,14,58,MunicipioID
21,14,60,15,61,SectorID
22,15,63,16,64,CalleID
23,16,67,17,68,CasaID
